Term,Definitions
Halo,"The part of an object or distribution surrounding some
								central body or distribution. For example, the particles above the core energies that
								show enhancements above the thermal population. Typically, a ""power law tail"" shows a
								break from the core Maxwellian at a particular energy."
Halpha,"A spectrum with a wavelength range centered at 656.3 nm.
								VSO nickname: H-alpha image with a spectrum range of of 655.8 nm to 656.8 nm."
HAPI,"A Heliophysics Application Programmer Interface (HAPI)
								specification compliant access point."
Hardcopy,"A permanent reproduction, or copy in the form of a
								physical object, of any media suitable for direct use by a person."
HardXrays,"Photons with a wavelength range: 0.001 to 0.1 nm and an
								energy range of 12 keV to 120 keV"
HashFunction,"A function or algorithm that converts a digital data
								object into a hash value. Typically the hash value is small and concise when compared to
								the digital data object."
HashValue,"The value calculated by a hash function, e.g. the message
								digest of a digital data object."
HCC,"Heliocentric Cartesian - A 3-D orthonormal coordinate
								system that is primarily intended to specify with two dimensions a point on the solar
								disk. The Z axis points toward the observer. The Y axis lies in the plane defined by the
								solar spin vector and the Z axis, positive northward. The X axis is perpendicular to the
								Y and Z axes, positive toward solar west. Standard representation for this system is via
								the point's x and y values, expressed either as physical distances or as fractions of
								the solar disk radius."
HCI,Heliographic Carrington Inertial.
HCR,"Heliocentric Radial - A 3-D orthonormal coordinate system
								that is primarily intended to specify with two dimensions a point on the solar disk. The
								Z axis points toward the observer. The Y axis lies in the plane defined by the solar
								spin vector and the Z axis, positive northward. The X axis is perpendicular to the Y and
								Z axes, positive toward solar west. Standard representation for this system is via the
								point's distance rho from the Z axis [Rho = SQRT(x**2 + y**2)] and its phase angle psi
								measured counterclockwise from the +Y axis [psi = arctan (-y/x)]"
HDF,Hierarchical Data Format
HDF4,"Hierarchical Data Format, Version 4"
HDF5,"Hierarchical Data Format, Version 5"
He10830,"A spectrum with a wavelength range centered at 1082.9 nm.
								VSO nickname: He 10830 image with a range of 1082.5 nm to 1083.3 nm."
He304,"A spectrum centered around the resonance line of ionised
								helium at 304 Angstrom (30.4 nm)."
HeatFlux,"Flow of thermal energy through a gas or plasma; typically
								computed as third moment of a distribution function."
HEE,"Heliocentric Earth Ecliptic - A coordinate system where
								the Z axis is normal to the ecliptic plane, positive northward. X axis points from Sun
								to Earth. See Hapgood, 1992"
HEEQ,"Heliocentric Earth Equatorial - A coordinate system where
								the Z axis is normal to the solar equatorial plane, positive northward. X axis is
								generally Earthward in the plane defined by the Z axis and the Sun-Earth direction. See
								Hapgood, 1992."
Heliosheath,"The region extending radially outward from the
								heliospheric termination shock and in which the decelerated solar wind plasma is still
								significant."
Heliosphere,"The solar atmosphere extending roughly from the outer
								corona to the edge of the solar plasma at the heliopause separating primarily solar
								plasma from interstellar plasma."
HERTN,"Helio-Eclipitic Radial Tangential Normal coordinate
								system. Typically centered at a spacecraft. The X axis (radial) is set as the primary
								axis, and is defined as the axis pointing from the spacecraft to the Sun. The Z axis
								(tangential) is set as the secondary axis, and is defined as that portion of the
								ecliptic rotational axis which is perpendicular to the primary axis. The Y axis (Normal)
								is defined as Z cross X."
HG,"Heliographic - A heliocentric rotating coordinate system
								where the Z axis is normal to the solar equatorial plane, positive northward. X, Y axes
								rotate with a 25.38 day period. The zero longitude (X axis) is defined as the longitude
								that passed through the ascending node of the solar equator on the ecliptic plane on 1
								January, 1854 at 12 UT. See
								<http://nssdc.gsfc.nasa.gov/space/helios/coor_des.html>"
HGI,"Heliographic Inertial - A heliocentric coordinate system
								where the Z axis is normal to the solar equatorial plane, positive northward. X axis is
								along the intersection line between solar equatorial and ecliptic planes. The X axis was
								positive at SE longitude of 74.367 deg on Jan 1, 1900. (See SE below.) See
								<http://nssdc.gsfc.nasa.gov/space/helios/coor_des.html>"
HGRTN,"Heliocentric Radial Tangential Normal coordinate system
								(aka RTN). Typically centered at a spacecraft. Used for IMF and plasma V vectors. The X
								axis (radial) is set as the primary axis, and is defined as the axis pointing from the
								spacecraft to the Sun. The Z axis (tangential) is set as the secondary axis, and is
								defined as that portion of the solar North rotational axis which is perpendicular to the
								primary axis. The Y axis (normal) is defined as Z cross X."
High,The largest value within a range of possible values.
Horizontal,"Parallel to or in the plane of the horizon or a base
								line."
HostContact,"An individual who can provide specific information with
								regard the hosting of a resource or supporting software."
Housekeeping,"Parameters that indicate the status or health state of
								instruments or monitoring devices as measured in physical units such as that for
								current, voltage, or temperature. Housekeeping data can be analyzed to determine whether
								instruments are working correctly and the knowledge of their values may be used to avoid
								errors or even device failures."
HPC,"Helioprojective Cartesian = A 3-D orthonormal
								(left-handed) coordinate system that is primarily intended to specify with two
								dimensions a point on the solar disk. The Z axis points from the observer to the center
								of the solar disk. The Y axis lies in the plane defined by the solar spin vector and the
								Z axis, positive northward. The X axis is perpendicular to the Y and Z axes, positive
								toward solar west. Given as the distance between the observer and the center of the
								solar disk, the standard representation of an (x,y) point on the solar disk is via the
								point's longitude angle [arctan (x/d)] and latitude angle [arctan y/d]."
HPR,"Helioprojective Radial - A 3-D orthonormal (left-handed)
								coordinate system that is primarily intended to specify with two dimensions a point on
								the solar disk. The Z axis points from the observer to the center of the solar disk. The
								Y axis lies in the plane defined by the solar spin vector and the Z axis, positive
								northward. The X axis is perpendicular to the Y and Z axes, positive toward solar west.
								Given as the distance between the observer and the center of the solar disk, the
								standard representation for this system of an (x,y) point on the solar disk is via the
								point's latitude angle theta {= arctan [SQRT(x**2 + y**2)]/d]} or equivalent declination
								parameter delta (= theta - 90 deg), and its phase angle psi as measured counter-
								clockwise from the +Y axis [psi = arctan (-y/x)]."
HSM,"Heliospheric Solar Magnetospheric - A coordinate system
								where the X axis is from Earth to Sun, Z axis is northward in a plane containing the X
								axis and the geomagnetic dipole axis."
HTML,"A text file containing structured information represented
								in the HyperText Mark-up Language (HTML). See <http://www.w3.org/MarkUp/>"
Hydrodynamic,"Periodic or quasi-periodic oscillations of fluid
								quantities."
I,"Projection of a vector along the first named axis of a
								coordinate system. Typically the X axis, but could be the R axis for an RTN coordinate
								system."
Iapetus,"The third-largest moon of Saturn and the eleventh-largest
								in the Solar System."
IDFS,"Instrument Data File Set (IDFS) is a set of files written
								in a prescribed format which contain data, timing data, and meta-data. IDFS was
								developed at Southwest Research Institute (SwRI)."
IDL,"Interactive Data Language (IDL) save set. IDL is a
								proprietary format."
IJ,"A measure of the length of a position or measured vector
								projected into the i-j (typically X-Y) plane of the coordinate system."
IK,"A measure of the length of a position or measured vector
								projected into the i-k (typically X-Z) plane of the coordinate system."
Image,"A two-dimensional representation of data with values at
								each element of the array related to an intensity or a color."
ImageIntensity,"Measurements of the two-dimensional distribution of the
								intensity of photons from some region or object such as the Sun or the polar auroral
								regions; can be in any wavelength band, and polarized, etc."
Imager,"An instrument which samples the radiation from an area at
								one or more spectral ranges emitted or reflected by an object."
ImageURL,"A URL to graphic, image or movie."
ImaginaryPart,"Any number z can in general be represented by its complex
								form with z = a + ib where i, which is defined as the square root of -1, signifies the
								imaginary component of the number z. The coefficient b is called the imaginary part of
								the complex number z."
ImagingSpectrometer,"An instrument which is a multispectral scanner with a
								very large number of channels (64-256 channels) with very narrow band widths."
IMFClockAngle,"The clockwise angle of the direction of interplanetary
								magnetic field (IMF) measured in the plane of the body pole perpendicular to the line
								between the body and the Sun."
Index,"The location of an item in an array or vector. An index
								can be multivalued to represent the location in a multidimensional object. The index of
								the first item is ""1"". A value of ""0"" is a wild card for all elements at the location in
								an array. A value of ""-1"" is a reference to the dimension at the location in the array.
								A ""-1"" is used when describing the attributes of the dimension, where as ""0"" or a
								positive integer is used to describe attributes of individual elements."
Inferred,"Determined by the analysis of other information or
								resources."
InformationURL,"Attributes of the method of acquiring additional
								information."
Infrared,Photons with a wavelength range: 760 to 1.00x10^6 nm
Inner,"The region of the heliosphere extending radially outward
								from the solar coronal base to just inside 1 AU."
InputProperty,"A container of attributes regarding an input property of
								an application."
InputResourceID,"The resource identifier for a resource which was used to
								generate this resource."
Inspection,"Determined by the analysis or assessment performed by a
								person."
Installer,"A piece of software that installs a program or package on
								a system."
Instrument,"A device that makes measurements used to characterize a
								physical phenomenon, or a family of like devices."
InstrumentGroupID,"The identifier of an Instrument resource which the
								referring resource is a member of."
InstrumentID,The identifier of an Instrument resource.
InstrumentLead,"An individual who is the designated leader of an
								instrument or intrument package."
InstrumentMode,"An indication of a state (mode) in which the instrument
								is operating. How a mode influences the interpretation and representation of data is
								described in instrument related documentation."
InstrumentStatus,"A quantity directly related to the operation or function
								of an instrument."
InstrumentType,"A characterization of an integrated collection of
								software and hardware containing one or more sensors and associated controls used to
								produce data on an environment."
Integral,"A flux measurement in a broad range of energy and solid
								angle."
Intensity,"The measurement of radiant or wave energy per unit
								detector area per unit bandwidth per unit solid angle per unit time."
Interferometer,"An instrument to study the properties of two or more
								waves from the pattern of interference created by their superposition."
Interior,"The region inside the body which is not visible from
								outside the body."
InterplanetaryShock,"A shock propagating generally anti-sunward through the
								slower solar wind, often seen in front of CME-associated plasma clouds."
Interstellar,"The region between stars outside of the star's
								heliopause."
InvestigationName,"The name given to the contract or engagement which
								enabled the data to be produced. Each investigation is associated with a Principal
								Investigator or Guest Investigator who was responsible for the original proposal. For
								single PI missions each major subsystem having its own identified Team Leader may also
								be classed as an ""Investigation"" for the purposes of data archiving."
Io,"The innermost of the four round moons of the planet
								Jupiter."
Ion,"An atom that has acquired a net electric charge by
								gaining or losing one or more electrons.(Note: Z>2)"
IonChamber,"A device in which the collected electrical charge from
								ionization in a gas-filled cavity is taken to be the proportion to some parameter (e.g.
								dose or exposure) of radiation field"
IonComposition,"In situ measurements of the relative flux or density of
								electrically charged particles in the space environment. May give simple fluxes, but
								full distribution functions are sometimes measured."
IonDrift,"A device which measures the current produced by the
								displacement of ambient ions on a grid, thereby allowing the determination of the ion
								trajectory and velocity."
IonGauge,"A device which measures low-pressure or vacuum neutral
								gas with pressures ranging from 10e-3 Torr to 10e?10 Torr. An ion gauge is an electronic
								amplifying vacuum tube consisting of three electrodes inside an evacuated glass
								envelope, with the filament being the cathode."
Ionosphere,"The charged or ionized gases surrounding a body that are
								nominally bound to the body by virtue of the gravitational attraction."
Irradiance,"Irradiance - A radiometric term for the power of
								electromagnetic radiation at a surface, per unit area. ""Irradiance"" is used when the
								electromagnetic radiation is incident on the surface. Irradiance data may be reported in
								any units (i.e. counts/s) due to, for example, being at a particular wavelength, or to
								being a not-fully-calibrated relative measurement."
J,"Projection of a vector along the second named axis of a
								coordinate system. Typically the Y axis, but could be the T axis for an RTN coordinate
								system."
J2000,"An astronomical coordinate system which uses the mean
								equator and equinox of Julian date 2451545.0 TT (Terrestrial Time), or January 1, 2000,
								noon TT. (aka J2000) to define a celestial reference frame."
JK,"A measure of the length of a position or measured vector
								projected into the j-k (typically Y-Z) plane of the coordinate system."
JPEG,"A binary format for still images defined by the Joint
								Photographic Experts Group"
JSM,"Jovian Solar Magnetospheric - A coordinate system related
								to Jupiter where the X axis is from Jupiter to Sun, Z axis is northward in a plane
								containing the X axis and the Jovian dipole axis."
JSO,"Jovian Solar Orbital - A coordinate system related to
								Jupiter where X anti-sunward, Y along the orbital velocity direction."
JSON,"Javascript Object Notation - A lightweight
								data-interchange format."
Jupiter,The fifth planet from the sun in our solar system.
K,"Projection of a vector along the third named axis of a
								coordinate system. Typically the Z axis, but could be the N axis for an RTN coordinate
								system."
K7699,"A spectrum with a wavelength range centred at 769.9 nm.
								VSO nickname: K-7699 dopplergram with a range of 769.8 nm to 770.0 nm."
Keyword,"A word or phrase that is relevant to the resource but
								does not exist in other documentary information."
KSM,"Kronian Solar Magnetospheric - A coordinate system
								related to Saturn where the X axis is anti-sunward, Z axis is northward in a plane
								containing the X axis and the Kronian dipole axis."
KSO,"Kronian Solar Orbital - A coordinate system related to
								Saturn where X is anti-sunward, Y along the orbital velocity direction."
LangmuirProbe,"A monopole antenna associated with an instrument. The
								instrument applies a potential to the antenna which is swept to determine the
								voltage/current characteristic. This provides information about the plasma surrounding
								the probe and spacecraft."
Language,"The two character indicator of language selected from the
								ISO 639-1 codes for the representation of names of languages."
Latitude,"The angular distance north (positive) or south (negative)
								from the equator, measured along the meridian passing through the point."
Layout,The structured arrangement of items in a collection.
LBHBand,"Lyman-Birge-Hopfield band in the far ultraviolet range
								with wavelength range of 140nm to 170 nm."
LGM,"Local Geomagnetic - A coordinate system used mainly for
								Earth surface or near Earth surface magnetic field data. X axis northward from
								observation point in a geographic meridian. Z axis downward towards Earth's center. In
								this system, H (total horizontal component) = SQRT (Bx^2 + By^2) and D (declination
								angle) = arctan (By/Bx)"
Linear,"Polarization where the E-field vector is confined to a
								given plane"
LinearScale,Intervals which are equally spaced.
LineDepth,"The measure of the amount of absorption below the
								continuum (depth) in a particular wavelength or frequency in an absorption spectrum."
LineOfSight,"The line of sight is the line that connects the observer
								with the observed object. This expression is often used with measurements of Doppler
								velocity and magnetic field in magnetograms, where only the component of the vector
								field directed along the line of sight is measured."
Listing,A listing of files - either through FTP or HTTP.
Location,"A position in space definable by a regional referencing
								system and geographic coordinates."
LogScale,"Intervals which are spaced proportionally to the
								logarithms of the values being represented."
Longitude,"The angular distance measured west (positive) or east
								(negative) from a north-south line called the Prime Meridian."
LongWire,"A dipole antenna whose active (sensor) elements are two
								wires deployed in the equatorial plane on opposite sides of a spinning spacecraft, and
								whose length is several times greater than the spacecraft diameter."
Low,The smallest value within a range of possible values.
LowerHybridFrequency,"Lower hybrid oscillations involve longitudinal motions of
								electrons and ions in a magnetized plasma. The propagation of lower hybrid waves must be
								close to perpendicular to the background magnetic field in so that electrons cannot move
								along field lines thus preventing wave growth. The lower hybrid frequency,
								&Phi;<sub>LH</sub>, can be calculated by using
								&Phi;<sub>LH</sub> =
								[(&Omega;<sub>ce</sub>&Omega;<sub>ci</sub>)<sup>-1</sup>
								+
								&Phi;<sub>pi</sub><sup>-2</sup>]<sup>-1/2</sup>
								where &Omega;<sub>ce</sub> and &Omega;<sub>ci</sub> are
								the electron and ion cyclotron frequencies, respectively, and
								Phi;<sub>LH</sub> is the ion plasma frequency."
LShell,"The L-Shell is the magnetic equatorial radius (in units
								of planetary radii) of a dipole magnetic field line. For instance, if the L-shell value
								equals 6 say at Earth, the magnetic field lines cross the magnetic equator at six Earth
								radii. The L-shell concept can be applied generally to any magnetized planet or
								satellite with a dominant dipolar magnetic field moment."
MAG,"Geomagnetic - geocentric. Z axis is parallel to the
								geomagnetic dipole axis, positive north. X is in the plane defined by the Z axis and the
								Earth's rotation axis. If N is a unit vector from the Earth's center to the north
								geographic pole, the signs of the X and Y axes are given by Y = N x Z, X = Y x Z.. See
								Russell, 1971, and <http://cdpp.cnes.fr/00428.pdf>"
Magnetic,"The physical attribute attributed to a magnet or its
								equivalent."
MagneticCloud,"A transient event observed in the solar wind
								characterized as a region of enhanced magnetic field strength, smooth rotation of the
								magnetic field vector and low proton density and temperature."
MagneticField,"A region of space near a magnetized body where magnetic
								forces can be detected (as measured by methods such as Zeeman splitting, etc.)."
MagneticMoment,"A constant of motion related to the gyromotion of a
								particle in a magnetic field that is either static or slowly varying with respect to the
								gyroperiod. The magnetic moment is usually denoted by using the lower case Greek letter
								for mu, 5, and can be calculated by using 5 = m u^2/2B where m is the particle mass, u
								is the velocity of the particle perpendicular to the constant or average magnetic field
								direction, and B is the magnitude of the magnetic field strength."
Magnetogram,"Measurements of the vector or line-of-sight magnetic
								field determined from remote sensing measurements of the detailed structure of spectral
								lines, including their splitting and polarization. (""Magnetogram."")"
Magnetograph,"A special type of magnetometer that records a time plot
								of the local magnetic field near the instrument; or a telescope capable of determining
								the magnetic field strength and/or direction on a distant object such as the Sun, using
								the Zeeman splitting or other spectral signatures of magnetization."
Magnetometer,An instrument which measures the ambient magnetic field.
MagnetopauseCrossing,"A crossing of the interface between the shocked solar
								wind in the magnetosheath and the magnetic field and plasma in the magnetosphere."
Magnetosheath,"The region between the bow shock and the magnetopause,
								characterized by very turbulent plasma."
MagnetosonicMachNumber,"The ratio of the velocity of fast mode waves to the
								Alfven velocity."
Magnetosphere,"The region of space above the atmosphere or surface of
								the planet, and bounded by the magnetopause, that is under the direct influence of the
								planet's magnetic field."
Magnetotail,"The region on the night side of the body where the
								magnetic filed is stretched backwards by the force of the solar wind. For Earth, the
								magnetotail begins at a night-side radial distance of 10 Re (X > -10Re)."
Magnitude,"A measure of the strength of a vector quantity or length
								of its representational vector."
Main,"The region of the magnetosphere where the magnetic field
								lines are closed, but does not include the gaseous region gravitationally bound to the
								body."
Mars,The forth planet from the sun in our solar system.
Mass,"The measure of inertia (mass) of individual objects
								(e.g., aerosols)."
MassDensity,The mass of particles per unit volume.
MassNumber,"The total number of protons and neutrons (together known
								as nucleons) in an atomic nucleus."
MassPerCharge,"The mass, m, per unit net charge, q, that is m/q, for an
								electron or an ionized atom, molecule, or dust particle."
MassRange,"The range of possible mass for a group of particle
								observations."
MassSpectrometer,"An instrument which distinguishes chemical species in
								terms of their different isotopic masses."
MATLAB_4,"MATLAB Workspace save set, version 4. MAT-files are
								double-precision, binary, MATLAB format files. MATLAB is a proprietary product of The
								MathWorks."
MATLAB_6,"MATLAB Workspace save set, version 6. MAT-files are
								double-precision, binary, MATLAB format files. MATLAB is a proprietary product of The
								MathWorks."
MATLAB_7,"MATLAB Workspace save set, version 7. MAT-files are
								double-precision, binary, MATLAB format files. Version 7 includes data compression and
								Unicode encoding. MATLAB is a proprietary product of The MathWorks."
Maximum,"The largest value of a batch or sample or the upper bound
								of a probability distribution."
MD5,"Message Digest 5 (MD5) is a 128-bit message digest
								algorithm created in 1991 by Professor Ronald Rivest."
MeasurementType,"A characterization of the quantitative assessment of a
								phenomenon."
Median,"The measure of central tendency of a set of n. values
								computed by ordering the values and taking the value at position (n. + 1) / 2 when n. is
								odd or the arithmetic mean of the values at positions n. / 2 and (n. / 2) + 1 when n. is
								even."
Memory,"The component of your computer that allows you to store
								and access data on a short-term basis, typically the amount of RAM. Indicate units with
								standard byte scales such as KB, MB, GB, TB and PB."
Mercury,The first planet from the sun in our solar system.
Mesosphere,"The layer of the atmosphere that extends from the
								Stratosphere to a range of 80 km to 85 km, temperature decreasing with height."
MetadataContact,"An individual who can affect a change in the metadata
								describing a resource."
MFA,"Magnetic Field Aligned - A coordinate system
								spacecraft-centered system with Z in the direction of the ambient magnetic field vector.
								X is in the plane defined by Z and the spacecraft-Sun line, positive sunward. See
								<http://cdpp.cnes.fr/00428.pdf>"
MHD,"Hydrodynamic waves in a magnetized plasma in which the
								background magnetic field plays a key role in controlling the wave propagation
								characteristics."
MicrochannelPlate,"An instrument used for the detection of elementary
								particles, ions, ultraviolet rays and soft X-rays constructed from very thin conductive
								glass capillaries."
Microfiche,"A sheet of microfilm on which many pages of material have
								been photographed; a magnification system is used to read the material."
Microfilm,"Film rolls on which materials are photographed at greatly
								reduced size; a magnification system is used to read the material."
Microwave,"Photons with a wavelength range: 1.00x10^6 to 1.50x10^7
								nm"
MidLatitudeRegion,"When considering the case of the Earth, the mid-latitude
								region typically refers to two latitudinal bands, one in the northern hemisphere and the
								other in the southern hemisphere extending from about 23 degrees to 50 degrees. The
								concept of mid-latitude regions does not apply to all bodies in the solar system and
								different latitudinal ranges would apply for each body case by case. The mid-latitude
								regions may be defined by using either planetographic or magnetic coordinates if the
								magnetic dipole is closely aligned with the spin axis of a magnetized body. Ground
								magnetometers located at mid latitude on the Earth are well positioned to measure
								magnetic storm-time ring current variations."
Mimas,"The smallest and least massive of the round moons of
								Saturn."
MIMEType,"Multipurpose Internet Mail Extensions (MIME) type and
								sub-type which characterizes the format of a file. MIME media types are define in RFC
								memorandum RFC 2046. Current MIME types are maintained by Internet Assigned Numbers
								Authority (IANA) at http://www.iana.org/assignments/media-types/index.html. Commonly
								used MIME types are: application/vnd.ms-powerpoint (ppt, pptx), application/vnd.ms-excel
								(xls, xlsx), text/richtext (rtx), application/postscript (eps, ps), application/pdf
								(pdf), application/xml-dtd (dtd), text/html (htm, html), text/xml (xsl, xml, xsd),
								application/x-dvi (dvi). If a document is compressed the specified MIME type should be
								for the uncompressed document."
Minimum,"The smallest value of a batch or sample or the lower
								bound of a probability distribution."
Miranda,The smallest and innermost round moon of Uranus.
MirrorURL,"A Uniform Resource Locator (URL) to an alternate location
								of a resource."
MissionManager,"A Mission Manager is a rolename used by the ESA. The
								Mission Manager corresponds to the Project Manager role used by NASA but the Mission
								Manager role only begins after the launch of the mission."
MissionPrincipalInvestigator,"An individual who is the administrative and scientific
								lead for a mission."
Mixed,"A parameter derived from more than one of the type of
								parameter. For example, plasma beta, the ratio of plasma particle energy density to the
								energy density of the magnetic field permeating the plasma, is ""mixed."""
MixedQuantity,"A characterization of the combined attributes of a
								quantity."
ModeAmplitude,"In helioseismology the magnitude of oscillation of waves
								of a particular geometry."
Molecule,"A group of atoms so united and combined by chemical
								affinity that they form a complete, integrated whole, being the smallest portion of any
								particular compound that can exist in a free state"
Moment,"Parameters determined by integration over a distribution
								function convolved with a power of velocity."
Moon,The only natural satellite of the Earth.
MPEG,"A digital format for movies defined by the Motion Picture
								Experts Group"
MSO,"Mars/Mercury Solar Orbital A coordinate system related to
								Mars or Mercury. A coordinate system where, depending on the body (Mars or Mercury), X
								is anti-sunward, Y along the orbital velocity direction."
MultispectralImager,"An instrument which captures images at multiple spectral
								ranges."
NaD,"A spectrum with a wavelength range of centered at 589.3
								nm. VSO nickname: Na-D image with a range of 588.8 nm to 589.8 nm."
Name,A language unit by which a person or thing is known.
NCAR,"The National Center for Atmospheric Research (NCAR)
								format. A complete description of that standard is given in appendix C of the ""Report on
								Establishment & Operation of the Incoherent- Scatter Data Base"", dated August 23,
								1984, obtainable from NCAR, P.O. Box 3000 Boulder, Colorado 80307-3000."
NearEarth,"The heliospheric region near the Earth which extends to
								and includes the area near the L1 and L2 Lagrange point."
NearSurface,"The gaseous and possibly ionized environment of a body
								extending from the surface to some specified altitude. For the Earth, this altitude is
								2000 km."
Neptune,The seventh planet from the sun in our solar system.
NetCDF,"Unidata Program Center's Network Common Data Form
								(NetCDF). A self-describing portable data format for array-oriented data access. See
								<http://my.unidata.ucar.edu/content/software/netcdf>"
NeutralAtomImager,"An instrument which measures the quantity and properties
								of neutral particles over a range of angles. Measured properties can include mass and
								energy."
NeutralAtomImages,"Measurements of neutral atom fluxes as a function of look
								direction; often related to remote energetic charged particles that lose their charge
								through charge-exchange and then reach the detector on a line-of-sight trajectory."
NeutralGas,"Measurements of neutral atomic and molecular components
								of a gas."
NeutralParticleDetector,"An instrument which measures the quantity and properties
								of neutral particles. Measured properties can include mass and plasma bulk densities."
Neutron,"An elementary particle that has no net charge and is a
								constituent of atomic nuclei, and that has a mass slightly large than a proton (1.673 x
								10^(-24) gram.)"
Ni6768,"A spectrum with a wavelength range centered at 676.8 nm.
								VSO nickname: Ni-6768 dopplergram with a range of of 676.7 nm to 676.9 nm."
None,A lack or absence of anything.
Note,"Information which is useful or important for the
								understanding of a value or parameter."
NumberDensity,The number of particles per unit volume.
NumberFlux,"The number of particles passing a unit area in unit time,
								possibly also per unit energy (or equivalent) and/or per unit look direction."
NumericalData,"Data stored as numerical values in one or more specified
								formats. A Numerical Data resource is a type of ""data product"" which is a set of data
								that is uniformly processed and formatted, from one or more instruments, typically
								spanning the full duration of the observations of the relevant instrument(s). A data
								product may consist of Parameters stored in a collection of granules of successive time
								spans or a single data granule."
Oberon,"The second-largest and second most massive mon of Uranus,
								and the ninth most massive moon in the Solar System."
ObservationExtent,The spatial area encompassed by an observation.
Observatory,"The host (spacecraft, network, facility) for instruments
								making observations, or a family of closely related hosts."
ObservatoryGroupID,"The identifier of an Observatory resource which the
								referring resource is a member of."
ObservatoryID,The identifier of an Observatory resource.
ObservatoryRegion,"A spatial location distinguished by certain natural
								features or physical characteristics where an observatory is located."
ObservedBy,Detected or originating from another resource.
ObservedRegion,"The portion of space measured by the instrument at the
								time of an observation. A region is distinguished by certain natural features or
								physical characteristics. It is the location of the observatory for in situ data, the
								location or region sensed by remote sensing observatories and the location-of-relevance
								for parameters that are derived from observational data."
Offline,"Not directly accessible electronically. This includes
								resources which may to be moved to an on-line status in response to a given request."
Online,Directly accessible electronically.
Open,Access is granted to everyone.
OperatingSpan,"The interval in time from the first point at which an
								instrument or spacecraft was producing and sending data until the last such time,
								ignoring possible gaps."
OperatingSystem,"The software that supports a computer's basic functions,
								such as scheduling tasks, executing applications, and controlling peripherals."
Optical,Photons with a wavelength range: 380 to 760 nm
ORCIdentifier,"A Open Researcher Contributor (ORC) identifier which is a
								unique alphanumeric string assigned by a registration agency (https://orcid.org/) to
								identify an individual. It has the format xxxx-xxxx-xxxx-xxxx"
OrganizationName,"A unit within a company or other entity (e.g., Government
								agency or branch of service) within which many projects are managed as a whole."
Orientation,"The specification of the directional alignment of an
								object or measurement in a reference coordinate system. The orientation such as a
								spacecraft spin axis attitude is usually expressed as one or more angles relative to the
								basis axes of some specified physical space usually together with the date/time of the
								observation."
Other,"Not classified with more specific terms. The context of
								its usage may be described in related text."
Outer,"The region of the heliosphere extending radially outward
								from just outside 1 AU to the heliospheric termination shock."
OutputProperty,"A container of attributes regarding an output property of
								an application."
Overview,"A web page that provides and overview of available data
								and links."
Parallel,Having the same direction as a given direction
Parameter,"A container of information regarding a parameter whose
								values are part of the product. Every product contains or can be related to one or more
								parameters."
ParameterKey,"The name or identifier which can be used to access the
								parameter in the resource. The associated value is dependent on the service used to
								access the resource. For columnar ASCII data, use ""Column_X"" for a single-element
								parameter and ""Column_X-Column_Y"" for a multi-element parameter, where X and Y are the
								relevant column index. The first column index is 1."
ParentID,"The resource identifier for a resource that a resource is
								a part of. The resource inherits the attributes of the referenced resource. Attributes
								defined in the resource override attributes of the parent in the manner prescribed by
								the containing resource."
PartiallyRestricted,"Some portions of the resource have restricted access, the
								rest is open access. Typically this is for accumulating data collections where some data
								is under review before being publicly released."
Particle,"A description of the types of particles observed in the
								measurement. This includes both direct observations and inferred observations."
ParticleCorrelator,"An instrument which correlates particle flux to help
								identify wave/particle interactions."
ParticleDetector,An instrument which detects particle flux!!!
ParticleQuantity,"A characterization of the physical properties of the
								particle."
ParticleRadius,"The mean radius for a Gaussian distribution of particles
								with an axial ratio of 2 and a distribution width that varies as 0.5 radius. A value of
								zero means no cloud was detected."
ParticleRigidity,"The particle momentum per unit charge. The particle
								Rigidity, R, is equal to pc/Ze."
ParticleType,"A characterization of the kind of particle observed by
								the measurement."
PartOf,A portion of a larger resource.
Passive,"Movement or effect produced by outside influence. A
								passive measurement is one which does not produce a transmission or excitation as a part
								of the measurement cycle."
PDF,"A document expressed in the Portable Document Format
								(PDF) as defined by Adobe."
PDS3,"The. Planetary Data System, version 3 (PDS3) standard
								provides guidelines on how a data producer should construct a data set suitable for
								long-term archiving. The standard contains a number of requirements in terms of dataset
								structure and documentation that should allow for any PDS compliant data set to be used
								and understood in the long term. Each PDS3 data product must be labelled in ASCII with
								full details on the structure and content of the product. The label can be attached to
								the data file itself or detached in a separate 'label' file with the suffix LBL. The
								PDS3 standard is described at: https://pds.jpl.nasa.gov/datastandards/pds3/standards/
								Since 2011, PDS3 has superseded by the PDS4 archiving standard. However, many data files
								still exist that are stored by using the PDS3 standard."
PDS4,"The Planetary Data System, version 4 (PDS4) standard
								provides guidelines on how a data producer should construct a data set suitable for
								long-term archiving. The standard contains a number of requirements in terms of dataset
								structure and documentation that should allow for any PDS compliant data set to be used
								and understood in the long term. Each PDS4 bundle consists of two files, one containing
								the data and the other an eXtensible Markup Language (XML) file containing the label.
								PDS4 recognises four base data structures, array, table, parsable byte stream and
								encoded byte stream with arrays and tables most commonly in use. The PDS4 standard is
								described at: https://pds.jpl.nasa.gov/datastandards/documents/current-version.shtml.
								The PDS4 archiving standard has been required for data archives from NASA-funded
								planetary missions and for small data archives since 2011."
Peak,"The maximum value for the quantity in question, over a
								period of time which is usually equal to the cadence."
